district,province,population_2024,population_share_sri_lanka_pct,avg_annual_population_growth_2012_2024_pct,population_density_2024_per_sq_km,urban_population_pct,estate_urban_population_pct,rural_population_pct,estate_rural_population_pct,population_under_18_count,population_under_18_pct,disability_rate_per_1000_age5plus,population_age25plus_2024,education_no_schooling_pct_age25plus,education_grades_1_5_pct_age25plus,education_grades_6_10_pct_age25plus,education_ol_pct_age25plus,education_al_or_over_pct_age25plus,computer_literacy_rate_pct_age5plus,digital_literacy_rate_pct_age5plus,labour_force_2024_count,employment_rate_pct,unemployment_rate_pct,in_migration_2024_count,out_migration_2024_count,net_migration_2024_count,in_migration_per_1000_population_derived,out_migration_per_1000_population_derived,net_migration_per_1000_population_derived,households_2024_count,one_person_households_pct,nuclear_households_pct,extended_households_pct,composite_households_pct,female_household_heads_pct,household_heads_age65plus_pct,occupied_housing_units_2024_count,closed_or_vacant_housing_units_2024_count,closed_or_vacant_share_reported_units_pct,housing_owned_by_household_member_pct,housing_private_rent_or_lease_pct,housing_free_of_rent_pct,permanent_housing_units_pct,semi_permanent_housing_units_pct,improvised_housing_units_pct,drinking_water_within_housing_unit_pct,drinking_water_within_premises_pct,drinking_water_outside_premises_pct,households_using_firewood_for_cooking_pct,households_using_gas_for_cooking_pct,water_sealed_toilet_pct,not_water_sealed_toilet_pct,cluster,hierarchical_cluster,anomaly,anomaly_score
Colombo,Western,2375415,10.9,0.2,3551,74.6,0.2,25.0,0.2,497829,20.9576,25,1601927,1.6,5.8,26.6,25.9,40.1,51.0,78.7,920746,94.2,5.8,519379,384245,135134,218.6477,161.7591,56.8886,661822,10.5,55.8,30.9,2.8,27.7,25.1,654051,113837,14.8247,76.0,16.6,2.4,98.6,1.3,0.0,97.2,2.1,0.7,9.9,85.5,99.9,0.1,1,1,-1,-0.10282478234475667
Gampaha,Western,2436142,11.2,0.4,1776,14.4,0.0,85.6,0.0,550947,22.6156,32,1620233,1.1,6.1,33.2,27.1,32.5,42.7,73.7,942323,94.4,5.6,524737,155712,369025,215.3967,63.9175,151.4793,688635,11.5,55.0,32.1,1.4,25.3,24.1,683025,102557,13.0549,81.6,12.5,2.2,98.7,1.2,0.1,89.6,7.3,3.1,31.8,63.9,99.8,0.2,1,1,1,1.8522117334662802e-05
Kalutara,Western,1305784,6.0,0.5,805,11.5,0.1,85.8,2.6,317714,24.3313,31,847732,1.8,9.4,36.6,23.8,28.4,37.1,69.1,488622,94.6,5.4,192833,126566,66267,147.676,96.9272,50.7488,352963,8.5,56.8,34.0,0.7,23.8,26.4,349430,45678,11.5609,86.8,5.9,4.1,97.9,2.1,0.0,89.8,6.4,3.8,42.4,55.9,99.7,0.3,0,0,1,0.027529297144589626
Kandy,Central,1461895,6.7,0.5,780,11.7,0.0,82.7,5.6,383300,26.2194,37,922349,3.0,11.0,32.4,23.3,30.3,38.5,69.0,512885,93.1,6.9,172489,287823,-115334,117.99,196.8835,-78.8935,397626,9.5,57.3,32.4,0.8,27.0,28.5,389826,53787,12.1248,84.6,5.3,5.0,94.7,5.2,0.1,86.4,8.9,4.7,58.3,40.3,99.4,0.6,0,0,1,0.08472998578330426
Matale,Central,526870,2.4,0.7,268,11.9,0.0,84.9,3.2,142146,26.9793,40,332816,3.5,15.1,40.9,19.5,21.0,31.4,65.7,196511,94.9,5.1,82805,105145,-22340,157.164,199.5654,-42.4014,151132,10.8,58.3,30.3,0.6,26.2,25.2,148184,21617,12.7308,86.7,3.8,5.9,94.2,5.7,0.1,76.6,12.7,10.6,75.5,23.5,98.8,1.1,0,0,1,0.12440236620549305
Nuwara Eliya,Central,725280,3.3,0.1,427,5.0,0.8,42.5,51.7,209614,28.9011,40,442909,8.3,22.5,36.5,18.1,14.6,23.9,56.4,276933,90.9,9.1,60934,169381,-108447,84.0144,233.5388,-149.5243,200261,10.7,55.9,33.1,0.3,28.0,24.2,192915,28387,12.8273,52.2,4.4,39.8,93.1,6.5,0.2,60.5,25.8,13.7,71.9,26.6,99.2,0.8,2,0,-1,-0.004193339752688319
Galle,Southern,1097372,5.0,0.2,695,12.3,0.0,86.1,1.6,273593,24.9317,36,711223,2.3,11.8,38.1,21.0,26.8,36.1,67.1,412384,94.4,5.6,95154,183490,-88336,86.7108,167.2086,-80.4978,307704,10.1,58.2,31.0,0.7,26.6,28.9,305379,43462,12.459,89.5,4.1,3.2,98.0,2.0,0.0,85.2,9.3,5.4,52.1,46.1,99.5,0.4,0,0,1,0.10450874579654773
Matara,Southern,837889,3.8,0.2,648,11.8,0.0,86.2,2.0,215664,25.739,42,537436,3.2,12.7,38.2,20.8,25.1,35.0,65.9,319272,94.3,5.7,95958,202894,-106936,114.5235,242.149,-127.6255,231946,9.4,59.3,30.6,0.7,25.3,30.3,230034,33039,12.5589,88.8,3.7,4.0,97.3,2.7,0.0,83.2,12.4,4.4,61.0,37.4,99.7,0.2,0,0,1,0.08405316954233888
Hambantota,Southern,671418,3.1,0.9,273,5.1,0.0,94.9,0.0,184670,27.5045,41,421054,3.2,14.5,39.9,21.5,20.9,30.1,64.1,238473,92.9,7.1,69567,107848,-38281,103.6121,160.6272,-57.0152,188638,10.3,63.7,25.6,0.4,24.1,27.5,187558,29971,13.7779,93.3,2.2,1.5,97.7,2.3,0.0,77.8,15.8,6.4,72.4,26.3,99.6,0.3,0,0,1,0.11894903334062412
Jaffna,Northern,594751,2.7,0.1,631,19.1,0.0,80.9,0.0,142788,24.008,33,383511,0.7,13.4,42.2,19.9,23.8,29.0,66.5,196485,93.3,6.7,29253,76684,-47431,49.1853,128.9346,-79.7493,159753,11.2,58.1,30.1,0.6,28.2,30.1,156797,34718,18.1281,74.4,8.7,13.8,96.5,2.8,0.4,30.5,40.1,29.4,54.7,42.3,99.9,0.1,0,0,1,0.04372303569732794
